Real,AtomPairs2DFingerprintCount,AtomPairs2DFingerprinter,EStateFingerprinter,ExtendedFingerprinter,Fingerprinter,GraphOnlyFingerprinter,KlekotaRothFingerprintCount,KlekotaRothFingerprinter,MACCSFingerprinter,PubchemFingerprinter,SubstructureFingerprintCount,SubstructureFingerprinter
7.70063000626,5.33169995057,6.61841053293,5.47083724318,4.88071002708,5.24569353024,4.96432823855,6.06330811973,4.73058678111,5.0873886702,5.51048449694,5.15123890041,5.41841711915
8.51390972181,5.21874039692,5.88619828214,6.04010913415,4.8767695113,5.25328963132,5.06240908917,6.75840847861,5.45534810144,5.26008628398,5.72882033175,5.59289588008,5.45003140641
7.51733790072,5.08113662838,6.49562218269,5.82027987166,4.91670112114,5.64237582884,4.68195069612,6.43606241341,4.95943867873,5.04645940718,5.76498439236,5.33369185021,5.25406896517
8.50768530564,5.19960900202,5.59519724091,5.75917708596,4.8024953124,5.73601582039,5.35646590742,6.01225394996,4.93183489276,5.00752116421,6.65737275733,5.63195036138,6.89064546536
7.45664478328,5.09064026827,6.09172805689,6.35899855896,4.78946317077,5.50918207167,5.24720910076,6.22655523175,5.13382836137,4.84793611761,5.69411798376,5.67382001885,6.13456842642
7.59010574523,5.00281675378,7.26743394433,5.89611518193,5.30545902317,5.44139193547,5.28200948278,6.7848615918,4.88754981956,4.97046418083,5.57860600664,5.35555476921,6.38170676908
7.70927996724,5.02931790217,6.23626876764,5.36006448759,5.16601643395,5.43019480354,5.04113844542,5.83322614702,4.74381140683,5.00744133174,5.85497488774,5.19500747062,6.65112349634
7.87563599797,4.93540267703,7.39748569761,6.06521773829,5.40124591348,5.09937152887,5.019045226,6.87671460188,5.68358693753,4.99350361592,5.21407234467,5.50057238593,6.32004487787
7.94843075484,4.94858864843,6.23626876764,5.36006448759,5.16601643395,5.43019480354,5.04113844542,5.83322614702,4.74381140683,5.00744133174,5.85497488774,5.25884177716,6.65112349634
7.85645437276,4.98123547433,6.49562218269,5.82027987166,4.91670112114,5.64237582884,4.68195069612,5.96357998625,4.95943867873,5.04645940718,5.76498439236,5.40778617762,5.25406896517
7.67807653986,5.18764031244,6.61841053293,5.47083724318,4.88071002708,5.24569353024,4.96432823855,6.4022028075,4.73058678111,5.0873886702,5.51048449694,5.3937569778,5.41841711915
8.24191132304,5.22707063393,6.75059964487,6.11463574216,5.0853425481,5.37802646196,5.26288225488,6.7912232018,5.18046865302,4.88067203027,6.11883569466,5.7900941913,6.87300271137
7.5611856102,5.06944769145,7.06752729169,5.85219291008,4.68968682279,5.00154826558,5.29200649227,5.83183138823,4.91058433118,5.14645818443,5.75786367452,5.22160656369,6.7639883497
8.37323888913,4.93848758185,5.94212604071,5.37362814367,5.23785595686,5.69013012427,5.13477146566,6.01070916265,4.81721671316,4.99898385779,5.69318571659,5.17715930898,6.73551500166
7.39242274813,5.2064494342,6.53671708695,6.17050337386,4.91182996684,5.38889862228,5.45148704181,6.82911129835,4.96601890479,5.03255330488,5.97626597734,5.80059546972,6.6388050056
8.24162260346,4.89443153064,7.14365401452,7.41875453461,4.89489669954,5.51861344092,5.47961431096,6.72760312571,5.13834900662,4.79959028749,5.66403608437,5.90944049051,6.90289834953
8.28814386288,5.27335857532,6.23626876764,5.36006448759,5.16601643395,5.43019480354,5.04113844542,5.7818376616,4.74381140683,5.00744133174,5.85497488774,5.12519411202,6.65112349634
7.70769075298,5.21410355102,6.53671708695,6.17050337386,4.91182996684,5.38889862228,5.45148704181,6.79407182287,4.96601890479,5.03255330488,5.97626597734,5.81325644266,6.6388050056
8.13569009371,5.1119189289,5.96828979628,5.88117192231,4.79402782483,5.5669557783,5.29047947497,5.93833727629,4.72996199317,4.97357489119,5.87712013013,5.43733123054,6.83181610525
7.9052110408,5.14854363964,5.94212604071,5.37362814367,5.23785595686,5.69013012427,5.13477146566,6.07513726977,4.81721671316,4.99898385779,5.69318571659,5.80138395945,6.73551500166
7.95781840548,5.15427097654,5.96828979628,5.88117192231,4.79402782483,5.5669557783,5.29047947497,6.34469347574,4.72996199317,4.97357489119,5.87712013013,5.77605854634,6.83181610525
7.73077434552,5.15969332772,6.35177982246,5.99694586697,4.85944292319,5.3511821298,5.49696992294,6.33293454811,4.67167941336,4.97939147928,6.19484880986,5.51370987428,6.7000692898
