chemblId,STATUS,MW,LogP,nHAcc,nHDon
CHEMBL183371,active,477.626,6.3181,6,2
CHEMBL439806,active,310.396,4.983,1,1
CHEMBL121879,active,448.588,5.2068,6,2
CHEMBL202996,inactive,286.308,3.94609,5,3
CHEMBL363705,intermediate,324.105,3.8076,4,2
CHEMBL373095,active,314.34,4.2532,3,2
CHEMBL185480,active,521.635,5.2826,8,2
CHEMBL389683,active,524.48,7.6934,5,1
CHEMBL449038,active,537.081,7.1082,6,2
CHEMBL225022,active,298.342,3.6202,5,3
CHEMBL389393,active,324.38,4.3253,5,3
CHEMBL360802,active,479.598,4.9004,7,3
CHEMBL332625,active,420.534,4.4745,6,3
CHEMBL194936,active,315.166,4.6805,2,2
CHEMBL192154,active,279.27,3.92878,3,2
CHEMBL369991,intermediate,330.512,4.6173,2,2
CHEMBL377342,intermediate,256.345,3.8712,2,1
CHEMBL381298,active,270.372,4.1172,2,1
CHEMBL204025,active,270.328,4.00914,3,2
CHEMBL202615,active,442.563,6.3822,4,1
CHEMBL201013,active,417.549,5.0642,4,2
CHEMBL385279,active,342.391,4.2426,5,3
CHEMBL219387,active,398.499,5.803,5,3
CHEMBL85826,inactive,317.348,3.1095,4,1
CHEMBL195371,active,470.638,7.0179,5,1
CHEMBL187915,active,324.105,3.8076,4,2
CHEMBL364092,active,270.715,4.5714,2,2
CHEMBL193726,active,236.27,3.918,2,2
CHEMBL192218,active,295.725,4.44308,3,2
CHEMBL441499,active,550.636,5.8785,7,3
CHEMBL183084,active,481.589,5.8776,6,2
CHEMBL187000,active,285.274,4.0782,4,2
CHEMBL369979,intermediate,316.485,4.2272,2,2
CHEMBL381299,intermediate,270.372,4.2613,2,1
CHEMBL206584,active,270.328,4.14346,3,2
CHEMBL212923,intermediate,314.388,4.0944,2,1
CHEMBL385358,active,346.405,4.6236,2,1
CHEMBL383533,active,431.576,5.4543,4,2
CHEMBL219577,active,328.364,3.7084,5,3
CHEMBL241303,active,525.693,6.0852,4,3
CHEMBL240227,active,615.818,7.6069,5,2
CHEMBL393278,intermediate,318.501,4.141,2,2
CHEMBL362428,active,459.586,5.9835,5,2
CHEMBL496,intermediate,406.907,6.609,2,2
CHEMBL434525,active,477.582,4.9168,7,2
CHEMBL365999,active,270.715,4.5714,2,2
CHEMBL198411,active,316.154,4.0755,3,2
CHEMBL186945,active,241.246,3.21442,4,2
CHEMBL197667,active,262.268,3.18468,4,2
CHEMBL382632,intermediate,306.446,2.6434,3,3
CHEMBL206440,intermediate,252.269,3.60322,3,1
CHEMBL380844,inactive,255.273,2.85084,4,2
CHEMBL383753,intermediate,333.365,2.64014,5,2
CHEMBL206406,active,384.023,4.48522,3,1
CHEMBL204056,intermediate,319.154,4.03114,3,1
CHEMBL381697,active,363.207,4.34816,4,1
CHEMBL204922,active,256.257,2.97424,4,2
CHEMBL206600,active,242.23,2.66582,4,2
CHEMBL206227,active,256.257,2.97424,4,2
CHEMBL211816,active,308.425,4.8221,2,1
CHEMBL208929,active,320.314,4.1942,2,1
CHEMBL209623,active,292.382,4.0419,2,1
CHEMBL211887,active,304.752,3.9673,2,1
CHEMBL191714,intermediate,220.271,4.2124,1,1
CHEMBL188792,intermediate,257.245,2.9146,5,2
CHEMBL204819,intermediate,258.229,2.37142,5,3
CHEMBL206546,intermediate,260.22,2.80492,4,2
CHEMBL205934,active,270.284,3.28266,4,2
CHEMBL381337,active,256.301,3.83504,3,2
CHEMBL203442,inactive,312.325,2.455,6,3
CHEMBL206814,active,326.352,2.8451,6,3
CHEMBL203351,inactive,282.299,2.3593,5,2
CHEMBL382698,inactive,294.31,2.83,5,2
CHEMBL191238,active,313.715,4.58218,3,2
CHEMBL364502,intermediate,261.28,3.78968,3,2
CHEMBL331996,active,479.667,6.6429,6,2
CHEMBL363634,active,279.27,3.92878,3,2
CHEMBL185890,active,252.229,2.77768,5,2
CHEMBL185083,active,475.61,5.9296,6,2
CHEMBL362793,intermediate,279.654,3.6985,4,2
CHEMBL187473,intermediate,243.218,2.6116,5,3
CHEMBL373987,active,254.329,3.4811,2,1
CHEMBL213950,active,296.41,4.5073,2,1
CHEMBL290106,intermediate,356.057,5.8626,3,2
CHEMBL239938,intermediate,269.344,3.264,3,2
CHEMBL391619,intermediate,283.371,3.6541,3,2
CHEMBL389907,active,523.676,6.3344,7,1
CHEMBL187115,intermediate,281.267,3.39128,5,2
CHEMBL363633,active,292.309,4.4285,2,2
CHEMBL182850,active,323.117,4.4126,3,2
CHEMBL361751,active,463.599,5.9296,6,2
CHEMBL188189,active,245.209,3.0451,4,2
CHEMBL196742,intermediate,331.346,5.1191,3,2
CHEMBL316003,active,483.608,7.1189,5,2
CHEMBL360410,active,243.218,2.6116,5,3
CHEMBL196530,active,271.703,3.9664,3,2
CHEMBL1570364,intermediate,392.68,4.6248,3,1
CHEMBL1491936,inactive,311.341,2.51592,6,1
CHEMBL1487772,inactive,216.24,2.20722,3,2
CHEMBL51483,intermediate,518.562,6.38224,8,6
CHEMBL359633,active,477.576,6.121,5,2
CHEMBL463804,inactive,242.274,3.1641,3,2
CHEMBL1414254,inactive,293.735,3.0066,6,1
CHEMBL1403999,intermediate,454.465,2.64107,7,2
CHEMBL1627356,active,477.67,5.4814,4,2
CHEMBL319244,intermediate,284.311,2.8969,4,2
CHEMBL1572403,inactive,333.34,1.9167,6,1
CHEMBL1541779,inactive,343.379,3.16462,5,1
CHEMBL1458486,inactive,321.354,2.1636,6,1
CHEMBL1587920,inactive,301.353,3.49738,5,0
CHEMBL1399039,inactive,471.258,4.7621,6,1
CHEMBL1332402,inactive,490.537,5.24506,6,2
CHEMBL1328083,inactive,398.418,4.36372,5,1
CHEMBL150924,inactive,239.23,3.193,3,1
CHEMBL184003,active,283.327,4.2486,4,2
CHEMBL182751,active,429.039,5.2131,4,2
CHEMBL1465370,inactive,369.446,3.56274,5,2
CHEMBL1383151,inactive,395.85,3.9545,6,2
CHEMBL1407483,intermediate,402.682,6.74476,8,0
CHEMBL1511067,inactive,354.391,2.84544,8,1
CHEMBL192876,active,305.16,5.2248,2,2
CHEMBL363017,intermediate,277.279,4.0592,4,2
CHEMBL1428161,inactive,459.524,2.9062,7,3
CHEMBL1390963,inactive,342.355,4.2376,7,1
CHEMBL340111,active,433.573,6.0508,5,2
CHEMBL185783,intermediate,303.317,4.573,4,2
CHEMBL294889,intermediate,260.333,2.7985,3,2
CHEMBL184151,intermediate,265.268,3.57708,4,2
CHEMBL1504315,inactive,360.464,3.59162,7,2
CHEMBL63768,intermediate,460.349,4.978,4,1
CHEMBL1564209,inactive,479.587,4.9881,7,3
CHEMBL1469865,inactive,375.384,3.0112,6,1
CHEMBL380188,intermediate,323.44,4.6072,3,1
CHEMBL214693,active,360.255,4.1595,3,1
CHEMBL196283,active,416.546,5.7035,5,1
CHEMBL195154,active,297.26,4.06788,3,2
CHEMBL363498,active,251.241,3.38268,4,2
CHEMBL1392188,inactive,428.466,2.86202,6,2
CHEMBL1577029,intermediate,358.357,3.3773,6,1
CHEMBL183368,active,291.306,4.36762,4,2
CHEMBL215409,active,334.297,3.8344,3,1
CHEMBL211837,intermediate,300.789,4.3052,2,1
CHEMBL379566,intermediate,345.24,4.4143,2,1
CHEMBL384268,active,366.358,5.1135,2,1
CHEMBL203348,active,325.147,4.28104,4,2
CHEMBL371072,active,432.545,5.4091,6,2
CHEMBL180873,active,548.664,6.48132,6,2
CHEMBL426626,intermediate,374.112,4.6873,4,2
